rx,ry,instrument_index,time_stamp
4.948715005471543,28.581123065829416,0,1666737305.5154893
3.959471474798855,28.56622069951494,0,1666737305.5520704
4.070134190755163,28.35446813601339,0,1666737305.5863664
4.585276663708304,27.985761770480003,0,1666737305.619692
4.570177449788684,27.770082571862513,0,1666737305.651921
4.975503328811286,27.37720732403987,0,1666737305.6826725
5.643598840167245,26.63978647072195,0,1666737305.7187436
6.992312004734671,26.708810338403755,0,1666737305.7526848
5.7033374113178175,26.212462831903146,0,1666737305.7850764
4.043936836633484,25.8366094364959,0,1666737305.819621
5.152995162535131,25.58849536409217,0,1666737305.8530772
4.730931073893092,25.20264042500131,0,1666737305.8869312
4.853065933450709,24.882906282574858,0,1666737305.9191306
5.788725415492366,24.814676961441027,0,1666737305.9506474
5.451899624214099,24.519491159142767,0,1666737305.9863791
4.77666240769003,24.28579033315466,0,1666737306.0198526
5.551498893714637,23.977284292672707,0,1666737306.0525262
5.564716213392914,24.006792357519803,0,1666737306.0853822
5.399848241318232,23.681573594352866,0,1666737306.119644
5.045760230045269,23.68462688318884,0,1666737306.154131
5.188594709255182,23.87759445270628,0,1666737306.185827
4.8661622018906225,23.511389962085055,0,1666737306.2186785
4.594448350474411,23.69161377687126,0,1666737306.2522573
3.931191346648007,23.42992176373505,0,1666737306.286831
4.341932573055399,23.21432455416934,0,1666737306.3203683
4.5428464534548665,23.01244803807521,0,1666737306.3558774
4.542738068514881,23.03152724326892,0,1666737306.3871355
4.9458469228651225,22.783466941427058,0,1666737306.4201322
4.863280932323404,22.86646331701877,0,1666737306.4565637
4.993661805615874,22.882382044295174,0,1666737306.4865158
5.286498583975093,22.748713246037855,0,1666737306.5206697
4.757529180271077,22.67060876138512,0,1666737306.55359
4.689858510625049,22.553338282388143,0,1666737306.5872788
4.552346829532458,22.53716042641926,0,1666737306.6197882
4.540276396440207,22.41364572453825,0,1666737306.6527884
4.150704235384266,22.255403447190073,0,1666737306.687723
4.578011133724281,22.314584358672732,0,1666737306.7198436
4.141318763625062,22.331316031891898,0,1666737306.7538702
4.072847880472691,22.365638612739833,0,1666737306.7879841
4.432617144131659,22.414187833409944,0,1666737306.819662
4.322356776889594,22.36718072513927,0,1666737306.8539035
4.743206460912807,22.37399994087513,0,1666737306.8873553
4.374957781253932,22.548240849852757,0,1666737306.922225
5.165407528455537,22.52372916210212,0,1666737306.9549544
5.168519426369836,22.640992323206834,0,1666737306.9885542
5.099004016620576,23.072355307204077,0,1666737307.0192673
4.8246397767005575,23.1642069921952,0,1666737307.053925
4.274019931084896,23.49435206846635,0,1666737307.087241
4.257386609384775,23.427488058329676,0,1666737307.1208076
4.371251009826717,24.06311959665559,0,1666737307.153659
4.61242777535149,24.11726381900009,0,1666737307.1883168
4.698637191570822,24.416976719613345,0,1666737307.229848
4.639236797423469,24.500350125959493,0,1666737307.2578576
4.935856901303476,24.591009456094486,0,1666737307.2904267
4.759826438093677,24.70339588292184,0,1666737307.3236415
5.131225163981956,24.70881270168821,0,1666737307.3578877
5.529790501550147,24.63717789478657,0,1666737307.387715
5.765081502716618,24.43487276866274,0,1666737307.4233649
6.46829613121768,24.431839014868793,0,1666737307.454778
6.334238444880537,24.532487860610324,0,1666737307.4907675
6.297010239539015,24.551233784085543,0,1666737307.520512
6.882524956932097,24.471006402042505,0,1666737307.554826
6.322007966256208,24.60530095696192,0,1666737307.5877147
